1,1,2,1,1,1,1,1,3,3,2,1,1
2,0,1,1,1,0,1,3,3,2,0,1,1
3,1,1,1,1,1,1,3,1,1,1,1,1
4,1,1,3,2,3,1,1,1,2,2,1,2
5,1,1,1,1,1,1,3,1,2,1,1,1
6,3,1,1,1,1,3,2,3,1,1,3,2
7,1,1,2,2,2,1,1,1,1,3,3,1
8,1,3,2,2,1,1,1,3,2,2,1,3
9,1,1,2,1,1,1,1,1,1,1,3,2
10,2,1,1,1,3,1,1,1,1,1,3,1
11,1,1,1,1,1,3,1,1,3,1,1,1
12,3,2,3,2,2,1,1,3,1,3,1,1
13,2,1,1,3,1,2,3,1,3,1,1,1
14,1,1,3,1,1,2,1,1,2,1,3,2
15,2,1,3,3,1,1,2,1,1,1,1,1
16,1,1,1,1,3,1,2,3,1,3,2,2
17,3,3,3,2,3,2,1,1,1,2,1,1
18,1,1,1,1,3,1,2,2,1,1,1,1
19,1,1,1,3,3,1,1,1,2,1,1,2
20,2,1,2,1,3,1,1,1,1,2,1,1
