1,3,1,1,1,3,3,3,1,3,1,1,1,3,3
2,1,0,0,0,3,3,0,2,0,3,0,0,2,3
3,3,3,1,3,1,1,3,3,3,2,3,1,1,1
4,2,1,1,1,1,3,2,1,1,1,1,1,3,3
5,1,1,3,2,1,1,3,2,3,3,3,3,3,1
6,3,1,1,3,3,1,2,2,3,1,3,1,3,1
7,2,2,1,1,3,1,3,1,3,1,2,3,1,3
8,3,3,1,1,2,3,1,2,1,3,2,1,1,1
9,2,3,1,1,2,1,3,3,2,1,2,3,1,2
10,1,1,3,2,1,1,3,2,1,1,3,1,1,3
11,3,1,1,3,1,2,3,3,1,3,1,1,2,2
12,1,1,3,1,2,1,3,3,3,3,3,3,1,3
13,2,1,3,1,2,1,2,1,3,1,3,2,3,3
14,1,1,1,3,1,1,3,1,1,3,2,1,1,3
15,3,1,3,1,3,1,3,1,3,3,3,3,2,2
16,3,1,3,3,3,1,3,1,3,1,2,1,3,3
17,1,1,3,3,3,3,1,2,2,2,3,3,1,3
18,3,1,2,1,3,3,1,1,2,1,1,3,3,1
19,1,1,1,1,2,1,1,3,1,3,3,2,1,1
20,1,3,3,1,3,1,1,3,2,2,1,2,1,3
