1,4,0,4,4,4,4,5,5,0,4,0,5,0
2,0,4,0,5,5,5,0,0,0,4,4,0,5
3,5,5,5,1,5,4,5,1,5,4,5,5,1
4,4,4,4,4,4,4,5,4,5,5,4,5,1
5,4,5,4,5,1,4,4,1,5,1,5,1,4
6,5,1,5,5,1,4,1,5,4,4,4,4,1
7,5,1,4,4,5,4,4,5,5,1,4,5,5
8,4,5,5,5,5,4,5,5,5,4,5,4,4
9,1,4,4,5,4,5,5,4,4,5,1,5,4
10,5,5,4,5,4,4,5,5,5,5,1,1,1
11,4,5,4,4,1,4,1,5,4,5,5,1,4
12,5,5,4,5,4,5,1,4,5,5,1,5,1
13,5,5,4,1,4,5,5,5,4,5,5,1,5
14,1,5,1,4,5,1,5,4,5,4,4,4,5
15,5,1,5,1,4,5,5,1,4,1,1,4,4
16,1,1,4,4,4,1,1,5,4,5,5,1,4
17,1,5,4,1,4,5,4,5,1,4,5,5,4
18,1,1,4,1,4,4,4,5,5,4,4,4,4
19,5,4,5,4,4,4,1,4,4,4,1,5,5
20,5,4,5,5,5,5,5,1,4,5,5,4,5
