1,4,3,4,4,4,4,5,5,3,4,3,5,3
2,3,4,3,5,5,5,3,3,3,4,4,3,5
3,5,5,5,3,5,4,5,3,5,4,5,5,3
4,4,4,4,4,4,4,5,4,5,5,4,5,3
5,4,5,4,5,3,4,4,3,5,3,5,3,4
6,5,3,5,5,3,4,3,5,4,4,4,4,3
7,5,3,4,4,5,4,4,5,5,3,4,5,5
8,4,5,5,5,5,4,5,5,5,4,5,4,4
9,3,4,4,5,4,5,5,4,4,5,3,5,4
10,5,5,4,5,4,4,5,5,5,5,3,3,3
11,4,5,4,4,3,4,3,5,4,5,5,3,4
12,5,5,4,5,4,5,3,4,5,5,3,5,3
13,5,5,4,3,4,5,5,5,4,5,5,3,5
14,3,5,3,4,5,3,5,4,5,4,4,4,5
15,5,3,5,3,4,5,5,3,4,3,3,4,4
16,3,3,4,4,4,3,3,5,4,5,5,3,4
17,3,5,4,3,4,5,4,5,3,4,5,5,4
18,3,3,4,3,4,4,4,5,5,4,4,4,4
19,5,4,5,4,4,4,3,4,4,4,3,5,5
20,5,4,5,5,5,5,5,3,4,5,5,4,5
