1,4,3,4,4,4,4,2,2,3,4,3,2,3
2,3,4,3,2,2,2,3,3,3,4,4,3,2
3,2,2,2,3,2,4,2,3,2,4,2,2,3
4,4,4,4,4,4,4,2,4,2,2,4,2,3
5,4,2,4,2,3,4,4,3,2,3,2,3,4
6,2,3,2,2,3,4,3,2,4,4,4,4,3
7,2,3,4,4,2,4,4,2,2,3,4,2,2
8,4,2,2,2,2,4,2,2,2,4,2,4,4
9,3,4,4,2,4,2,2,4,4,2,3,2,4
10,2,2,4,2,4,4,2,2,2,2,3,3,3
11,4,2,4,4,3,4,3,2,4,2,2,3,4
12,2,2,4,2,4,2,3,4,2,2,3,2,3
13,2,2,4,3,4,2,2,2,4,2,2,3,2
14,3,2,3,4,2,3,2,4,2,4,4,4,2
15,2,3,2,3,4,2,2,3,4,3,3,4,4
16,3,3,4,4,4,3,3,2,4,2,2,3,4
17,3,2,4,3,4,2,4,2,3,4,2,2,4
18,3,3,4,3,4,4,4,2,2,4,4,4,4
19,2,4,2,4,4,4,3,4,4,4,3,2,2
20,2,4,2,2,2,2,2,3,4,2,2,4,2
